,Fecha,Dia,Num_Day,Num_Month,Month,Year,Hora,Persona,Mensaje,clean_text,timestamp,texBlod,sentimiento_vader,n-grams
0,30/11/2023,Jueves,30,11,Nov,2023,19:12:50,Capibaras Ironhack,"‎Los mensajes y las llamadas están cifrados de extremo a extremo. Nadie fuera de este chat, ni siquiera WhatsApp, puede leerlos ni escucharlos.",mensaje llamada cifrado extremo extremo nadie chat siquiera whatsapp poder leer l escucharlo,2023-11-30 19:12:50,neutro,neutro,neutro
1,30/11/2023,Jueves,30,11,Nov,2023,19:12:50,Alana Ironhack,‎Alana Ironhack creó el grupo “Capibaras Ironhack”.,aln ironhack creer grupo capibara ironhack,2023-11-30 19:12:50,neutro,neutro,neutro
2,30/11/2023,Jueves,30,11,Nov,2023,19:12:50,Capibaras Ironhack,‎Alana Ironhack te añadió.,aln ironhack t anadio,2023-11-30 19:12:50,neutro,neutro,neutro
3,30/11/2023,Jueves,30,11,Nov,2023,19:12:56,Alana Ironhack,Hola,holar,2023-11-30 19:12:56,neutro,neutro,neutro
4,30/11/2023,Jueves,30,11,Nov,2023,19:13:12,Alana Ironhack,Les paso las fotos de ayer prepárense xq es un bombardeo,l pasar foto ayer preparense ser bombardeo,2023-11-30 19:13:12,neutro,neutro,neutro
5,30/11/2023,Jueves,30,11,Nov,2023,20:22:19,~ Teresa,Es un bombardeo que nos ahorra prácticamente un lab ❤️,ser bombardeo ahorrar practicamente laboratorio,2023-11-30 20:22:19,neutro,neutro,neutro
6,30/11/2023,Jueves,30,11,Nov,2023,20:22:38,Alana Ironhack,Jajaja,jajaja,2023-11-30 20:22:38,neutro,neutro,neutro
7,30/11/2023,Jueves,30,11,Nov,2023,20:32:18,Sil🐨,Muchas gracias!,gracia,2023-11-30 20:32:18,neutro,neutro,neutro
8,01/12/2023,Viernes,1,12,Dic,2023,17:10:16,~ Teresa,Fan del icono del grupo,fan icono grupo,2023-12-01 17:10:16,neutro,positivo,neutro
9,01/12/2023,Viernes,1,12,Dic,2023,17:11:26,~ Teresa,Entregue el lab sin el último ejercicio del facetGrid y la respuesta de Rosella ha sido: Lab status: good job! 😃,entregar laboratorio ultimo ejercicio facetgrid respuesta rosella haber ser laboratorio status good job,2023-12-01 17:11:26,positivo,positivo,neutro
10,01/12/2023,Viernes,1,12,Dic,2023,17:20:03,Alana Ironhack,Hola no lo había pero me encanta,hola l habiar encantar,2023-12-01 17:20:03,neutro,neutro,neutro
11,01/12/2023,Viernes,1,12,Dic,2023,17:20:39,Alana Ironhack,"Yo hoy lo termino, que hay una cosa de una y la 2 que no me salía",hoy l termino haber cosa saliar,2023-12-01 17:20:39,neutro,neutro,neutro
12,01/12/2023,Viernes,1,12,Dic,2023,17:21:13,Alana Ironhack,Qué bueno q Rosella ha reconocido tu buen trabajo nena,bueno rosella haber reconocer buen trabajo nena,2023-12-01 17:21:13,neutro,neutro,neutro
13,01/12/2023,Viernes,1,12,Dic,2023,17:21:46,Alana Ironhack,Ahora soy yo la Capibara enferma 🤧,ahora ser capibaro enferma,2023-12-01 17:21:46,neutro,neutro,neutro
14,01/12/2023,Viernes,1,12,Dic,2023,17:25:26,Alana Ironhack,X cierto al final si me quedo mañana ( si no muero de gripe ) jajaja,cierto final si quedar mann si morir gripe jajajar,2023-12-01 17:25:26,neutro,neutro,neutro
15,01/12/2023,Viernes,1,12,Dic,2023,17:51:13,Sil🐨,espero no habertelo pegado joo,esperar habertelo pegado joo,2023-12-01 17:51:13,neutro,neutro,neutro
16,01/12/2023,Viernes,1,12,Dic,2023,17:51:27,Sil🐨,yo tengo terminarlo me voy a poner ahora,tener terminar l ir poner ahora,2023-12-01 17:51:27,neutro,neutro,neutro
17,01/12/2023,Viernes,1,12,Dic,2023,17:51:32,Alana Ironhack,No ahora con el frío todo mundo está igual,ahora frio mundir igual,2023-12-01 17:51:32,neutro,neutro,neutro
18,01/12/2023,Viernes,1,12,Dic,2023,17:51:51,Sil🐨,yo en el metro veo a todo el mundo malo,metro veo mundo malo,2023-12-01 17:51:51,neutro,neutro,neutro
19,01/12/2023,Viernes,1,12,Dic,2023,17:52:16,Alana Ironhack,Si si en el trabajo vamos cayendo poco a poco,si si trabajo ir caer,2023-12-01 17:52:16,neutro,neutro,neutro
20,01/12/2023,Viernes,1,12,Dic,2023,18:27:54,~ Teresa,No hay fútbol y juanchos al final?,haber futbol juancho final,2023-12-01 18:27:54,neutro,neutro,neutro
