Fecha,Hora,Persona,Mensaje
"28/5/19,",10:57:45,Las chochas,"‎Los mensajes y las llamadas están cifrados de extremo a extremo. Nadie fuera de este chat, ni siquiera WhatsApp, puede leerlos ni escucharlos."
"28/5/19,",10:57:45,Lara U-tad,‎Lara U-tad creó el grupo “Las chochas”.
"28/5/19,",10:57:45,Las chochas,‎Lara U-tad te añadió.
"28/5/19,",10:58:07,Lara U-tad,María dónde estass
"28/5/19,",10:58:12,Ting Chen U-tad,Maria
"28/5/19,",10:58:21,Sil🐨,Despierta maria
"28/5/19,",10:59:35,Maria U-tad,Aquí
"28/5/19,",10:59:36,Maria U-tad,Ay
"28/5/19,",10:59:48,Maria U-tad,xD
"28/5/19,",11:00:43,Maria U-tad,Ahora que respondo nadie me contesta? D:
"28/5/19,",11:01:38,Ting Chen U-tad,Jajajajaja
"28/5/19,",11:01:43,Ting Chen U-tad,Q mañana
"28/5/19,",11:01:46,Ting Chen U-tad,A dodne vamos
"28/5/19,",11:03:34,Maria U-tad,Pueees íbamos a ir a Madrid no?
"28/5/19,",11:03:39,Ting Chen U-tad,Si
"28/5/19,",11:04:15,Maria U-tad,Yo aviso que si voy tengo que volver pronto
"28/5/19,",11:04:38,Maria U-tad,"Que como llegue tarde a casa, me matan (todo el mundo trabaja)"
"28/5/19,",11:04:44,Ting Chen U-tad,Q hora es pronto
"28/5/19,",11:05:09,Maria U-tad,"Pues como tarde a las 9 y pico, 10 en casa"
"28/5/19,",11:05:45,Maria U-tad,Y el bus me tarda media hora en volver desde Moncloa
"28/5/19,",11:05:56,Ting Chen U-tad,Valee
"28/5/19,",11:06:27,Maria U-tad,Qué plan teníais pensado?
"28/5/19,",11:06:37,Maria U-tad,O no habíais pensado nada? xD
"28/5/19,",11:06:46,Ting Chen U-tad,Yo no sé nada de Madrid
"28/5/19,",11:06:52,Ting Chen U-tad,Y silvia
"28/5/19,",11:07:05,Maria U-tad,Ya si estoy viendo a ver si Lara y Silvia dicen algo
"28/5/19,",11:07:25,Maria U-tad,Que me meten prisa para que hable y mira ahora :P
"28/5/19,",11:10:23,Ting Chen U-tad,Es q dice q no sabe o le da igual
"28/5/19,",11:11:46,Maria U-tad,Puesss podéis ir a comer por ahí y yo me acoplo después
"28/5/19,",11:12:05,Maria U-tad,Que mañana le dije a mi madre que íbamos a comer fuera con mi hermano
"28/5/19,",11:23:29,Sil🐨,Valee pues vamos a ir a comer a Alcorcón
"28/5/19,",11:23:38,Sil🐨,Y luego vamos a madrid y quedamos contigo
"28/5/19,",11:31:07,Maria U-tad,Oka 👌🏻
