Fecha,Hora,Persona,Mensaje
"30/11/23,",19:12:50,Capibaras Ironhack,"‎Los mensajes y las llamadas están cifrados de extremo a extremo. Nadie fuera de este chat, ni siquiera WhatsApp, puede leerlos ni escucharlos."
"30/11/23,",19:12:50,Alana Ironhack,‎Alana Ironhack creó el grupo “Capibaras Ironhack”.
"30/11/23,",19:12:50,Capibaras Ironhack,‎Alana Ironhack te añadió.
"30/11/23,",19:12:56,Alana Ironhack,Hola
"30/11/23,",19:13:12,Alana Ironhack,Les paso las fotos de ayer prepárense xq es un bombardeo
"30/11/23,",20:22:19,~ Teresa,Es un bombardeo que nos ahorra prácticamente un lab ❤️
"30/11/23,",20:22:38,Alana Ironhack,Jajaja
"30/11/23,",20:32:18,Sil🐨,Muchas gracias!
"1/12/23,",17:10:16,~ Teresa,Fan del icono del grupo
"1/12/23,",17:11:26,~ Teresa,Entregue el lab sin el último ejercicio del facetGrid y la respuesta de Rosella ha sido: Lab status: good job! 😃
"1/12/23,",17:20:03,Alana Ironhack,Hola no lo había pero me encanta
"1/12/23,",17:20:39,Alana Ironhack,"Yo hoy lo termino, que hay una cosa de una y la 2 que no me salía"
"1/12/23,",17:21:13,Alana Ironhack,Qué bueno q Rosella ha reconocido tu buen trabajo nena
"1/12/23,",17:21:46,Alana Ironhack,Ahora soy yo la Capibara enferma 🤧
"1/12/23,",17:25:26,Alana Ironhack,X cierto al final si me quedo mañana ( si no muero de gripe ) jajaja
"1/12/23,",17:51:13,Sil🐨,espero no habertelo pegado joo
"1/12/23,",17:51:27,Sil🐨,yo tengo terminarlo me voy a poner ahora
"1/12/23,",17:51:32,Alana Ironhack,No ahora con el frío todo mundo está igual
"1/12/23,",17:51:51,Sil🐨,yo en el metro veo a todo el mundo malo
"1/12/23,",17:52:16,Alana Ironhack,Si si en el trabajo vamos cayendo poco a poco
"1/12/23,",18:27:54,~ Teresa,No hay fútbol y juanchos al final?
"1/12/23,",18:28:22,Sil🐨,es verdad
"1/12/23,",18:28:36,Sil🐨,cancelado por enfermedad ‎<Se editó este mensaje.>
"1/12/23,",18:29:33,Alana Ironhack,"No, esq si no iba a morir ahí en el frío, así q abandone a David e irá con un amigo, así q ni tan mal jajaj"
"1/12/23,",18:42:03,Sil🐨,bueno mejor asi no te pones peor
"1/12/23,",18:46:03,Alana Ironhack,Si además así q dijeras cuantas ganas tengo de ir. Pues no
"2/12/23,",18:08:18,Sil🐨,seguis trabajando?
"2/12/23,",18:09:15,Alana Ironhack,No nos quedamos
"2/12/23,",18:10:23,Sil🐨,Al final no?
"2/12/23,",18:10:33,Sil🐨,Bueno tú estás malita
"2/12/23,",18:10:39,Alana Ironhack,"No cada quien a su casa, los otros si se quedaron"
"2/12/23,",18:11:03,Sil🐨,Bueno yo me voy a poner un ratito
"2/12/23,",18:11:08,Alana Ironhack,Yo ahora en unos min me pongo
"2/12/23,",18:11:21,Sil🐨,Valee perfe
"2/12/23,",18:40:10,~ Teresa,Yo también
"2/12/23,",18:40:43,~ Teresa,"Y luego me desperté y dije “uy que sucio está todo”, y me puse a limpiar como forma de procrastinar"
"2/12/23,",18:40:49,~ Teresa,Así que cuando acabe me conecto
"2/12/23,",19:11:55,Sil🐨,jajajajajaj
"2/12/23,",19:12:19,Sil🐨,estoy viendome tutoriales porque no saco nada
"2/12/23,",19:15:04,Sil🐨,esq todo lo que veo lo sacan con .plot
"2/12/23,",19:15:14,Sil🐨,y el ejemplo que nos han dado es .iplot
"2/12/23,",20:14:35,~ Teresa,Pero con .plot siguen siendo interactivos?
"2/12/23,",20:36:46,Sil🐨,Eh?
"2/12/23,",20:46:58,Alana Ironhack,Siiii porque iplot es una biblioteca de cufflinks
"2/12/23,",20:51:47,Alana Ironhack,Yo esq estoy practicando para entenderlo
"2/12/23,",20:52:34,~ Teresa,Ese también me suena de haberlo visto esta mañana
"4/12/23,",16:37:58,Alana Ironhack,"Capibaras no iré hoy, no quería faltar pero estoy fatal"
"4/12/23,",16:38:13,Alana Ironhack,Me conectaré desde casa
"4/12/23,",16:39:57,Sil🐨,Recupérate!!
"4/12/23,",17:29:47,~ Teresa,"Ay no, has ido a peor? 🥺"
"4/12/23,",17:29:51,~ Teresa,Recupérate!
"4/12/23,",17:31:15,Alana Ironhack,Ayyy siiii que pesadilla además no quería faltar pero estoy fatal y tengo muchísima tos
"4/12/23,",17:34:59,Sil🐨,Pues nada descansa y recupérate!
"4/12/23,",17:36:30,Alana Ironhack,Me conectaré pero si hay algo importante les pregunto
"4/12/23,",17:36:55,Alana Ironhack,Sobre todo xq dijo Octavio que nos dejarían deberes para estos días
"4/12/23,",17:38:25,Sil🐨,Valee no te preocupes yo estaré atenta por si no te enteras de algo
"4/12/23,",17:38:51,Sil🐨,Que en casa hay veces que si se va a la pizarra o cosas de esas no te enteras ‎<Se editó este mensaje.>
"4/12/23,",17:39:40,Alana Ironhack,Awww q linda mil gracias
"4/12/23,",17:40:43,Alana Ironhack,Lee había comprado 😢😢😢
"4/12/23,",17:40:45,Alana Ironhack,Les
"4/12/23,",17:40:54,Sil🐨,Ohhh que mona
"4/12/23,",17:41:08,Sil🐨,Pero que es tu cumple?
"4/12/23,",17:41:26,Alana Ironhack,No no xq son muy ricos jajaja solo por eso
"4/12/23,",17:41:42,Alana Ironhack,Es de guapas compartir jajaja
"4/12/23,",17:41:50,Alana Ironhack,Como diría la vecina rubia
"4/12/23,",17:49:18,Sil🐨,JAJAJAJAJA
"4/12/23,",17:49:23,~ Teresa,Jajajajajaja
"4/12/23,",17:49:51,~ Teresa,Yo creo que si los guardas para el próximo sábado quizá no estén malos 🙄🙄
"4/12/23,",17:50:13,Alana Ironhack,Jajaj
"4/12/23,",22:03:00,Alana Ironhack,Yo que pensé que ya había pasado lo peor del curso
"4/12/23,",22:26:21,~ Teresa,A mí me recuerdan a los garabatos que pintas en cualquier hoja cuando te aburres
"4/12/23,",22:26:27,~ Teresa,Hacíamos arte y no lo sabíamos
"4/12/23,",22:30:27,Alana Ironhack,Jjajaja así tal cual
"4/12/23,",22:30:42,Alana Ironhack,Graficábamos jajaj
"6/12/23,",18:49:15,Alana Ironhack,Capibaras
"6/12/23,",18:49:52,Alana Ironhack,Han encontrado algún video bueno que explique lo de EDA ?
"6/12/23,",18:50:01,Alana Ironhack,He visto dos pero mmm no me convencieron
"6/12/23,",19:04:14,Sil🐨,Yo me iba a poner ahora… estoy muy vaga
"6/12/23,",19:13:06,~ Teresa,Yo me lo he tomado hoy como festivo
"6/12/23,",19:13:45,Alana Ironhack,Jajajaja yo me he puesto un momento pero tengo mucha pereza
"6/12/23,",19:13:55,~ Teresa,Tómalo como festivo tía
"6/12/23,",19:14:01,~ Teresa,Te lo mereces porque si
"6/12/23,",19:14:06,~ Teresa,Que tal tu constipado?
"6/12/23,",19:14:06,Alana Ironhack,Y vi unos videos y …
"6/12/23,",19:14:27,Alana Ironhack,Tere te necesito en mi vida eso es lo que necesitaba leer jajaj
"6/12/23,",19:14:33,~ Teresa,"De todas formas lo del EDA yo lo vi una vez y creo que tengo “apuntes” de ello, mañana los busco y los paso"
"6/12/23,",19:14:40,Alana Ironhack,Ayer estaba fatal y fui al médico
"6/12/23,",19:15:15,Alana Ironhack,Y estoy dopada cada 8 horas xq tengo faringitis y otitis x eso tenía el oído tan tapado
"6/12/23,",19:15:26,~ Teresa,Ay la virgen
"6/12/23,",19:15:40,Alana Ironhack,"Pero la vdd aunq las medicinas saben horrible, me han funcionado perfecto y gotas en el oído"
"6/12/23,",19:15:56,~ Teresa,"Lo guay es eso, es que ahora los antibióticos en dos días te dejan como nueva"
"6/12/23,",19:16:09,Alana Ironhack,Si si estaba fuerte el gripon
"6/12/23,",19:16:31,Alana Ironhack,Me daré una hora de hacer otras cosas y me pongo a ver si tengo mejor actitud jaja
"6/12/23,",19:16:51,Alana Ironhack,La vdd estoy deseando con ansias as vacaciones del curso
"6/12/23,",19:16:59,Alana Ironhack,Me gusta ir pero odio un poco los labs
"6/12/23,",19:17:30,~ Teresa,Un poco bastante diría yo
"6/12/23,",19:17:44,~ Teresa,Pero vamos que ya queda un suspiro hasta el 20 de diciembre! 💃🏼
"6/12/23,",19:17:54,Alana Ironhack,Me roban La Paz
"7/12/23,",18:27:21,Alana Ironhack,Ayer empecé pero no tenía actitud ahora en 10 min me pongo jaja
"7/12/23,",18:27:26,Alana Ironhack,Solo hice lo del dado jajaja
"7/12/23,",18:27:29,~ Teresa,Creo que he generado sólo el dadito de los huevos y ya me quiero suicidar
"7/12/23,",18:28:06,Sil🐨,yo estoy en el challenge 2 y no se si lo estoy haciendo bien
"7/12/23,",18:28:28,Sil🐨,no entiendo este lab
"7/12/23,",18:30:00,Sil🐨,me he quedado atascada en la distribucion de frecuencias
"7/12/23,",18:30:23,Alana Ironhack,Yo tengo una pereza de hacerlo
"7/12/23,",18:30:39,Alana Ironhack,Pero ahora me pondré si o si jaja
"7/12/23,",18:30:51,Alana Ironhack,Graficaste lo de los dados ?
"7/12/23,",18:31:34,~ Teresa,"Aquí yo estaba con El Profe Alejo, un vídeo de YouTube que te va explicando que narices es eso"
"7/12/23,",18:31:52,Alana Ironhack,Cuál??? Mándalo porfa
"7/12/23,",18:32:37,~ Teresa,https://www.youtube.com/watch?app=desktop&v=dmrsX9PeZBk&ab_channel=ElProfeAlejo
"7/12/23,",18:32:38,~ Teresa,Ahí va
"7/12/23,",18:32:48,~ Teresa,Que es una tontería proque al parecer es un value_counts y fin
"7/12/23,",18:32:55,Sil🐨,sii la grafica sii
"7/12/23,",18:33:09,~ Teresa,"Pero el tipo tiene también mogollón de vídeos de media, mediana, histogramas y demás"
"7/12/23,",18:33:24,Alana Ironhack,Ah pues ahora los veo
"7/12/23,",18:33:34,Sil🐨,yo tambien
"7/12/23,",18:33:53,Sil🐨,porque por internet veo que tengo que calcular un monton de cosas
"7/12/23,",19:23:49,Alana Ironhack,Ya estoy aquí
"7/12/23,",19:23:58,Alana Ironhack,Intentaré no morir en el intento
"7/12/23,",19:24:16,Sil🐨,como estas del constipado?
"7/12/23,",19:24:28,Alana Ironhack,Sigo sin escuchar jajaja
"7/12/23,",19:24:40,Alana Ironhack,Pero ya sabes esas son cosas de la edad jajaj pero ya mejor
"7/12/23,",19:24:51,Alana Ironhack,Justo me acabo de tomar la medicina que saben horrible
"7/12/23,",19:25:39,Sil🐨,yo me estuve tomando fluimucil (nose como se escribe) para sacar los mocos
"7/12/23,",19:25:58,Alana Ironhack,Yo estos dos
"7/12/23,",19:26:56,Sil🐨,esos tambien son buenos
"7/12/23,",19:27:33,Alana Ironhack,"El algidol es el que llevo peor, parezco niña pequeña xq me sabe fatal"
"7/12/23,",19:28:19,Sil🐨,esq los sobres saben fatal...
"7/12/23,",19:28:23,Sil🐨,jajajajaja
"7/12/23,",19:29:18,Alana Ironhack,Ya estoy con el profe Alejo
"7/12/23,",19:33:00,Sil🐨,Yo he hecho lo que dice el pero nose si está bien Jajajajaja
"7/12/23,",19:35:37,~ Teresa,Podría considerarse como dopaje para el lab? 😂
"7/12/23,",19:36:48,Alana Ironhack,Jajaja
"7/12/23,",19:38:47,Alana Ironhack,Muy atenta al video
"7/12/23,",19:39:09,~ Teresa,Pregúntale a ella cómo hacer la función de la media
"7/12/23,",19:39:19,~ Teresa,CatGPT
"7/12/23,",19:39:32,Alana Ironhack,Jajaja MichaGPT
"7/12/23,",20:00:37,Sil🐨,JAJAJAJAJA
"7/12/23,",20:32:28,Sil🐨,oye sabeis que diferencia hay entre la media y la mediana?
"7/12/23,",20:33:44,Sil🐨,esq estoy intentado entender que es y me sale que se calcula igual... o lo estoy encontrando mal..
"7/12/23,",20:33:53,Alana Ironhack,La media es el promedio
"7/12/23,",20:34:35,Sil🐨,esa es sumando todos los datos y dividiendo por el numero de datos
"7/12/23,",20:34:39,Sil🐨,y la otra?
"7/12/23,",20:34:48,Alana Ironhack,Eso es
"7/12/23,",20:35:20,Alana Ironhack,La mediana es el valor central de un conjunto de datos
"7/12/23,",20:35:44,Sil🐨,se calcula igual?
"7/12/23,",20:35:49,Alana Ironhack,"Imagínate que son 5 hermanos, el mediano sería el 3"
"7/12/23,",20:36:15,Alana Ironhack,No no se calculan igual
"7/12/23,",20:47:47,Alana Ironhack,No recuerdo la fórmula
"7/12/23,",20:47:58,Alana Ironhack,Excel me ha hecho daño
"7/12/23,",20:48:12,Alana Ironhack,Ya solo se poner mean y listo jaja
"7/12/23,",20:48:19,Sil🐨,encontre esta formula
"7/12/23,",20:48:24,Sil🐨,def median(l): half = len(l) // 2 l.sort() if not len(l) % 2: return (l[half - 1] + l[half]) / 2.0 return l[half] print(median(lst))
"7/12/23,",20:48:33,Sil🐨,pero no me funciona por el sort
"7/12/23,",20:49:20,Alana Ironhack,Esq la media los datos deben de ir ordenados por eso el sort
"7/12/23,",20:49:44,Sil🐨,sii eso he estado viendo
"7/12/23,",20:50:03,Sil🐨,pero como le paso un df me dice que no es un atributo
"7/12/23,",20:59:29,Sil🐨,no consigo sacarlo
"7/12/23,",21:25:37,Alana Ironhack,Yo estoy viendo los videos de Alejo y ya mañana cuando vuelva de el trabajo hago el lab
"7/12/23,",21:26:26,Sil🐨,Yo si saco algo os digo también
"7/12/23,",21:45:38,~ Teresa,"A mí todo esto ni me suena, creo que yo hice el sort por fuera"
"7/12/23,",21:46:00,~ Teresa,"Pero es que me bajé al gimnasio y luego de cervezas o sea que tampoco tengo ya la cabeza en su sitio, mañana lo reviso"
"7/12/23,",21:54:10,Alana Ironhack,Jajajaj
"7/12/23,",21:54:54,Sil🐨,Pues eso no lo he probado
"7/12/23,",21:55:36,Sil🐨,Haces bien menudo lab Jajajajaja
"9/12/23,",14:35:11,~ Teresa,https://towardsdatascience.com/creating-boxplots-of-well-log-data-using-matplotlib-in-python-34c3816e73f4
"12/12/23,",18:27:18,Alana Ironhack,Capibaras
"12/12/23,",18:27:33,Alana Ironhack,Voy tarde pero ya casi llego
"12/12/23,",18:27:40,Sil🐨,Valee avisamos
"12/12/23,",18:27:39,Alana Ironhack,Hay atasco
"12/12/23,",18:27:45,Alana Ironhack,Gracias
"12/12/23,",18:45:11,~ Teresa,"Mentira, nos abandonaste 😞"
"13/12/23,",13:37:45,Alana Ironhack,No quiero ir hoy a clase
"13/12/23,",13:38:22,Alana Ironhack,Siento que esta semana ya he tenido mi dosis de Ironhack
"13/12/23,",14:59:15,~ Teresa,Yo tampoco quiero 😫😫
"13/12/23,",14:59:26,~ Teresa,Hacemos pellas como en el instituto?
"13/12/23,",15:30:57,Sil🐨,Yo estoy igual
"13/12/23,",15:31:12,Sil🐨,Pero como no esté en cuerpo presento no me entero
"13/12/23,",20:38:26,Sil🐨,alana
"13/12/23,",20:38:30,Sil🐨,pasa las fotos
"13/12/23,",20:38:35,Sil🐨,jaajajaj
"16/12/23,",10:08:11,Alana Ironhack,Olé que guay!!!
"16/12/23,",10:08:15,Alana Ironhack,Gracias
"16/12/23,",10:10:38,Sil🐨,nada
"18/12/23,",17:07:26,~ Teresa,"Capis, llevo la merienda 🙈"
"18/12/23,",17:08:01,Alana Ironhack,Ay no!! No voy a ir
"18/12/23,",17:08:04,Alana Ironhack,Me voy a conectar
"18/12/23,",17:08:22,Alana Ironhack,Ash
"18/12/23,",17:08:28,~ Teresa,A más tocamos entonces 💃🏼
"18/12/23,",17:08:36,Alana Ironhack,No se lo coman !!!
"18/12/23,",17:08:38,Alana Ironhack,Jajaja
